CustomerID,Lookalikes
C0001,Customer ID: C0137 with Similarity Score: 0.221404; Customer ID: C0152 with Similarity Score: 0.365747; Customer ID: C0191 with Similarity Score: 0.399686
C0002,Customer ID: C0029 with Similarity Score: 0.092607; Customer ID: C0031 with Similarity Score: 0.406542; Customer ID: C0142 with Similarity Score: 0.528165
C0003,Customer ID: C0072 with Similarity Score: 0.641621; Customer ID: C0027 with Similarity Score: 0.663071; Customer ID: C0190 with Similarity Score: 0.693728
C0004,Customer ID: C0113 with Similarity Score: 0.527378; Customer ID: C0068 with Similarity Score: 0.533835; Customer ID: C0017 with Similarity Score: 0.600190
C0005,Customer ID: C0061 with Similarity Score: 0.226257; Customer ID: C0131 with Similarity Score: 0.338108; Customer ID: C0167 with Similarity Score: 0.436404
C0006,Customer ID: C0079 with Similarity Score: 0.387098; Customer ID: C0117 with Similarity Score: 0.536220; Customer ID: C0170 with Similarity Score: 0.832374
C0007,Customer ID: C0085 with Similarity Score: 0.165470; Customer ID: C0120 with Similarity Score: 0.782502; Customer ID: C0074 with Similarity Score: 0.821245
C0008,Customer ID: C0084 with Similarity Score: 0.556355; Customer ID: C0093 with Similarity Score: 1.170100; Customer ID: C0017 with Similarity Score: 1.195617
C0009,Customer ID: C0128 with Similarity Score: 0.602347; Customer ID: C0198 with Similarity Score: 1.194833; Customer ID: C0192 with Similarity Score: 1.474383
C0010,Customer ID: C0025 with Similarity Score: 0.793849; Customer ID: C0094 with Similarity Score: 0.818052; Customer ID: C0029 with Similarity Score: 0.853660
C0011,Customer ID: C0183 with Similarity Score: 0.217819; Customer ID: C0107 with Similarity Score: 0.262842; Customer ID: C0064 with Similarity Score: 0.312423
C0012,Customer ID: C0046 with Similarity Score: 0.413765; Customer ID: C0122 with Similarity Score: 0.476354; Customer ID: C0101 with Similarity Score: 0.561999
C0013,Customer ID: C0051 with Similarity Score: 0.418071; Customer ID: C0046 with Similarity Score: 0.574587; Customer ID: C0155 with Similarity Score: 0.649737
C0014,Customer ID: C0097 with Similarity Score: 0.846777; Customer ID: C0032 with Similarity Score: 1.169707; Customer ID: C0083 with Similarity Score: 1.195357
C0015,Customer ID: C0186 with Similarity Score: 0.918690; Customer ID: C0130 with Similarity Score: 1.022020; Customer ID: C0131 with Similarity Score: 1.046013
C0016,Customer ID: C0048 with Similarity Score: 0.607238; Customer ID: C0187 with Similarity Score: 0.759219; Customer ID: C0158 with Similarity Score: 0.831572
C0017,Customer ID: C0113 with Similarity Score: 0.183645; Customer ID: C0162 with Similarity Score: 0.465029; Customer ID: C0004 with Similarity Score: 0.600190
C0018,Customer ID: C0182 with Similarity Score: 0.352740; Customer ID: C0053 with Similarity Score: 0.617499; Customer ID: C0200 with Similarity Score: 0.689108
C0019,Customer ID: C0172 with Similarity Score: 0.505467; Customer ID: C0088 with Similarity Score: 0.568312; Customer ID: C0047 with Similarity Score: 0.730159
C0020,Customer ID: C0080 with Similarity Score: 0.545313; Customer ID: C0140 with Similarity Score: 0.826679; Customer ID: C0110 with Similarity Score: 1.050483
C0021,Customer ID: C0122 with Similarity Score: 0.576557; Customer ID: C0145 with Similarity Score: 0.621654; Customer ID: C0173 with Similarity Score: 0.642658
C0022,Customer ID: C0057 with Similarity Score: 0.305441; Customer ID: C0153 with Similarity Score: 0.353866; Customer ID: C0105 with Similarity Score: 0.368804
C0023,Customer ID: C0100 with Similarity Score: 0.606125; Customer ID: C0187 with Similarity Score: 0.779408; Customer ID: C0155 with Similarity Score: 1.040962
C0024,Customer ID: C0139 with Similarity Score: 0.542651; Customer ID: C0181 with Similarity Score: 0.712941; Customer ID: C0194 with Similarity Score: 0.771647
C0025,Customer ID: C0029 with Similarity Score: 0.537161; Customer ID: C0071 with Similarity Score: 0.575297; Customer ID: C0002 with Similarity Score: 0.592400
C0026,Customer ID: C0117 with Similarity Score: 0.621002; Customer ID: C0135 with Similarity Score: 0.629841; Customer ID: C0070 with Similarity Score: 0.715077
C0027,Customer ID: C0166 with Similarity Score: 0.320110; Customer ID: C0035 with Similarity Score: 0.327683; Customer ID: C0052 with Similarity Score: 0.386614
C0028,Customer ID: C0099 with Similarity Score: 0.621726; Customer ID: C0087 with Similarity Score: 0.699172; Customer ID: C0045 with Similarity Score: 0.718535
C0029,Customer ID: C0002 with Similarity Score: 0.092607; Customer ID: C0031 with Similarity Score: 0.465265; Customer ID: C0025 with Similarity Score: 0.537161
C0030,Customer ID: C0189 with Similarity Score: 0.347275; Customer ID: C0038 with Similarity Score: 0.350736; Customer ID: C0055 with Similarity Score: 0.360300
C0031,Customer ID: C0199 with Similarity Score: 0.283751; Customer ID: C0002 with Similarity Score: 0.406542; Customer ID: C0029 with Similarity Score: 0.465265
C0032,Customer ID: C0083 with Similarity Score: 0.259419; Customer ID: C0077 with Similarity Score: 0.438033; Customer ID: C0043 with Similarity Score: 0.716981
C0033,Customer ID: C0060 with Similarity Score: 0.420075; Customer ID: C0151 with Similarity Score: 0.528095; Customer ID: C0097 with Similarity Score: 1.037760
C0034,Customer ID: C0134 with Similarity Score: 0.674790; Customer ID: C0038 with Similarity Score: 0.834846; Customer ID: C0190 with Similarity Score: 0.846481
C0035,Customer ID: C0052 with Similarity Score: 0.208413; Customer ID: C0178 with Similarity Score: 0.223414; Customer ID: C0027 with Similarity Score: 0.327683
C0036,Customer ID: C0197 with Similarity Score: 0.180102; Customer ID: C0112 with Similarity Score: 0.362323; Customer ID: C0159 with Similarity Score: 0.389270
C0037,Customer ID: C0064 with Similarity Score: 0.276877; Customer ID: C0149 with Similarity Score: 0.364260; Customer ID: C0183 with Similarity Score: 0.519619
